moneda,commodity,regimen,rezago,correlacion,p_valor,n_obs
ZAR,WTI (petroleo),2014-2016 (crash petroleo),-1,0.00737525056487463,0.8369594790116047,781
ZAR,WTI (petroleo),2014-2016 (crash petroleo),0,0.017955553620658968,0.6161240925425602,782
ZAR,WTI (petroleo),2014-2016 (crash petroleo),1,0.2803652188221326,1.4247522285142236e-15,781
ZAR,WTI (petroleo),2014-2016 (crash petroleo),2,-0.06485405456657418,0.07025293236922033,780
ZAR,WTI (petroleo),2014-2016 (crash petroleo),3,0.034597237085121926,0.3348620831756033,779
ZAR,WTI (petroleo),2020 (shock COVID),-2,-0.14113269715614798,0.023373175031827655,258
ZAR,WTI (petroleo),2020 (shock COVID),-1,0.11429032705826428,0.0662905513552442,259
ZAR,WTI (petroleo),2020 (shock COVID),0,0.02903690448782208,0.6411809139377541,260
ZAR,WTI (petroleo),2020 (shock COVID),1,0.1105536559606184,0.07572719793216569,259
ZAR,WTI (petroleo),2020 (shock COVID),2,-0.12840762735697503,0.03929764050850833,258
ZAR,WTI (petroleo),2020 (shock COVID),3,0.1703207439929976,0.006197084332141137,257
ZAR,WTI (petroleo),2022 (guerra/inflacion),-2,0.0005597499227979557,0.9928612164952964,258
ZAR,WTI (petroleo),2022 (guerra/inflacion),-1,-0.027353753480591096,0.661263291051264,259
ZAR,WTI (petroleo),2022 (guerra/inflacion),0,0.0843378625087785,0.1751719457940639,260
ZAR,WTI (petroleo),2022 (guerra/inflacion),1,0.09473888523201061,0.1283287200161486,259
ZAR,WTI (petroleo),2022 (guerra/inflacion),2,0.0021265934171215,0.9728832737994434,258
ZAR,WTI (petroleo),2022 (guerra/inflacion),3,-0.09387651318685522,0.13337231869651583,257
