ds,estrategia,posicion,notional,razon_cierre,pnl,capital
2026-06-11,PPO baseline (TP=h1 siempre),1.0,686.1633219630195,stop_loss,-5.96137262905218,192.75104833935353
2026-06-16,PPO baseline (TP=h1 siempre),-1.0,648.1293771319959,trailing_stop,-2.645918085132262,190.10513025422128
2026-06-19,PPO baseline (TP=h1 siempre),-1.0,624.3493622792903,stop_loss,-5.7031539076267075,184.40197634659458
2026-06-24,PPO baseline (TP=h1 siempre),1.0,642.4996103558957,cierre_periodo,5.671403926875402,190.07338027346998
2026-06-29,PPO baseline (TP=h1 siempre),1.0,722.8058556549797,cierre_periodo,2.406771542373146,192.48015181584313
2026-07-02,PPO baseline (TP=h1 siempre),-1.0,804.1758421338711,trailing_stop,-2.4816334166331853,189.99851839920996
2026-07-07,PPO baseline (TP=h1 siempre),-1.0,830.951314912137,trailing_stop,-4.716781770021471,185.2817366291885
2026-07-10,PPO baseline (TP=h1 siempre),-1.0,795.849372708631,cierre_periodo,1.6398760116120539,186.92161264080053
2026-07-15,PPO baseline (TP=h1 siempre),-1.0,850.8806887899386,trailing_stop,-4.755851564628309,182.16576107617223
2026-07-20,PPO baseline (TP=h1 siempre),-1.0,827.8295471071784,cierre_periodo,-1.7372579026049382,180.4285031735673
2026-07-23,PPO baseline (TP=h1 siempre),1.0,903.5877442493146,trailing_stop,3.779822524862033,184.20832569842932
2026-07-28,PPO baseline (TP=h1 siempre),1.0,918.8031743038598,stop_loss,-5.526249770952869,178.68207592747646
2026-07-31,PPO baseline (TP=h1 siempre),-1.0,840.4164751984449,cierre_periodo,9.200873719726205,187.88294964720268
2026-08-05,PPO baseline (TP=h1 siempre),-1.0,857.8210011804927,cierre_periodo,1.8386238550842011,189.72157350228687
2026-08-10,PPO baseline (TP=h1 siempre),-1.0,942.3364448386174,cierre_periodo,-1.6420167169099702,188.0795567853769
2026-08-13,PPO baseline (TP=h1 siempre),1.0,1019.2549699129028,cierre_periodo,0.2708522158058433,188.35040900118273
2026-08-18,PPO baseline (TP=h1 siempre),1.0,1116.400628921673,take_profit,3.6017641049466445,191.95217310612938
2026-08-21,PPO baseline (TP=h1 siempre),-1.0,1118.3267946212761,take_profit,2.895745119800925,194.8479182259303
2026-08-26,PPO baseline (TP=h1 siempre),-1.0,1087.926707343188,stop_loss,-5.845437546777974,189.0024806791523
2026-08-31,PPO baseline (TP=h1 siempre),-1.0,969.2284319321154,stop_loss,-5.670074420374574,183.33240625877775
2026-09-03,PPO baseline (TP=h1 siempre),-1.0,1020.5445188151058,take_profit,6.7924288240262545,190.124835082804
