ds,y,y_next,vol_realizada,posicion_cruda,pos,ventana,seed
2026-02-16,0.0011595546981569,0.0011596622964866,0.005648678301715,-0.23082069,-0.38611698070826755,3,123
2026-02-17,0.0011596622964866,0.0011551079261667,0.0056241801200006,-0.21420826,-0.3598885185151944,3,123
2026-02-18,0.0011551079261667,0.0011606448181041,0.0057343670805987,-0.25112274,-0.413801040956014,3,123
2026-02-19,0.0011606448181041,0.0011560426087501,0.0052517414082193,-0.15181361,-0.2731482193356498,3,123
2026-02-20,0.0011560426087501,0.0011542012601815,0.0053085666865755,-0.22373967,-0.39825084139699396,3,123
2026-02-23,0.0011542012601815,0.0011618990439933,0.0053199841537365,0.12707329,0.2257017496178272,3,123
2026-02-25,0.0011618990439933,0.0011675013902558,0.0053424009338885,0.34307623,0.6067994123403246,3,123
2026-02-26,0.0011675013902558,0.0011558422272537,0.0053026322763705,0.08645549,0.1540607628492755,3,123
2026-02-27,0.0011558422272537,0.001145265507761,0.0057373185157382,0.19559672,0.32213922639918396,3,123
2026-03-02,0.001145265507761,0.0011329518748541,0.0059949262153915,0.15206926,0.2396892556727199,3,123
2026-03-03,0.0011329518748541,0.0011112099064254,0.0062106415573903,-0.010271965,-0.01562816726047088,3,123
2026-03-04,0.0011112099064254,0.0011180929745081,0.0074265476724471,-0.067173414,-0.08546758889746792,3,123
2026-03-05,0.0011180929745081,0.0011041549558557,0.0074433679461118,-0.056065414,-0.07117320696793804,3,123
2026-03-06,0.0011041549558557,0.0010978273819215,0.0077366948271327,-0.06855983,-0.08373466215119174,3,123
2026-03-09,0.0010978273819215,0.0010931112043831,0.0076178307177285,-0.06863739,-0.08513741376020402,3,123
2026-03-10,0.0010931112043831,0.0011252517719933,0.0073054403671493,-0.049968116,-0.06463050792009997,3,123
2026-03-11,0.0011252517719933,0.0011149017741187,0.0099132236535232,0.23770468,0.22657596248393522,3,123
2026-03-12,0.0011149017741187,0.0010920607040178,0.0100398414450679,0.0018854799,0.001774541121963063,3,123
2026-03-13,0.0010920607040178,0.0010908574969521,0.0107943248235966,0.17618534,0.15422873137789905,3,123
2026-03-16,0.0010908574969521,0.0010996019647599,0.0108068524833614,-0.05018764,-0.04388221639143814,3,123
2026-03-17,0.0010996019647599,0.0011026452785966,0.0110651744353027,-0.053370334,-0.0455756263970402,3,123
2026-03-18,0.0011026452785966,0.0010927409162243,0.0111160788849193,-0.17678161,-0.15027144575857598,3,123
2026-03-19,0.0010927409162243,0.0010959024325769,0.01120798611117,-0.21903466,-0.18466146671577957,3,123
2026-03-20,0.0010959024325769,0.001078109011008,0.0111486458113727,-0.20644626,-0.17497495706057356,3,123
2026-03-23,0.001078109011008,0.0010980805640209,0.0115505634023041,-0.055539377,-0.04543482233291357,3,123
2026-03-24,0.0010980805640209,0.0010900846079707,0.0125417182371407,-0.11822108,-0.0890694720486233,3,123
2026-03-25,0.0010900846079707,0.0010908813201155,0.0123938161500129,0.045965385,0.035044255994578825,3,123
2026-03-27,0.0010775397867294,0.0010837524186649,0.0123631367737504,0.3145653,0.24042142330055452,4,123
2026-03-30,0.0010837524186649,0.001075014546553,0.0124526298331172,0.25004038,0.18973178013482478,4,123
2026-03-31,0.001075014546553,0.0010797853557538,0.0123748220521112,0.37858385,0.28907739377201547,4,123
2026-04-01,0.0010797853557538,0.0010959384257055,0.0118106764503514,0.28182626,0.2254746233665641,4,123
2026-04-02,0.0010959384257055,0.0010911074740861,0.0122556601142186,-0.08855081,-0.06827266282480665,4,123
2026-04-03,0.0010911074740861,0.0010877013664912,0.0119845160209982,0.24834855,0.19580877090947782,4,123
2026-04-06,0.0010877013664912,0.0010917388473252,0.0119394548686496,0.27196804,0.21524068859112902,4,123
2026-04-07,0.0010917388473252,0.0010911550706243,0.0119381488332257,0.17204393,0.13617374395744414,4,123
2026-04-08,0.0010911550706243,0.0011145414461937,0.0097902194904149,-0.20579748,-0.19862716126759106,4,123
2026-04-09,0.0011145414461937,0.0011215540313994,0.0108403999349031,-0.08943529,-0.07795690918159323,4,123
2026-04-10,0.0011215540313994,0.0011180179746774,0.0097552292369008,-0.29718736,-0.287861679699421,4,123
2026-04-13,0.0011180179746774,0.001117455758396,0.0097929837784812,0.105735034,0.10202224646618724,4,123
2026-04-14,0.001117455758396,0.0011283752773417,0.0096679752062222,0.007672584,0.007498892836955244,4,123
2026-04-15,0.0011283752773417,0.0011300073294603,0.0098654525048614,0.0010276806,0.000984310546278033,4,123
2026-04-16,0.0011300073294603,0.0011285153314566,0.0095704181254419,-0.39666116,-0.3916334548359967,4,123
2026-04-17,0.0011285153314566,0.0011231916521851,0.0095886364852033,-0.37391552,-0.3684746722939753,4,123
2026-04-20,0.0011231916521851,0.0011347904419393,0.0087671068221079,-0.17323032,-0.18670615264343723,4,123
2026-04-21,0.0011347904419393,0.0011211516439029,0.0081397651534792,-0.26037616,-0.3022597592583111,4,123
2026-04-22,0.0011211516439029,0.0011239364997829,0.0084798177574697,-0.277346,-0.30904831258712234,4,123
2026-04-23,0.0011239364997829,0.0011179805166784,0.0084815221722745,-0.03338498,-0.0371936085156585,4,123
2026-04-24,0.0011179805166784,0.0011159344459348,0.0080140607505508,-0.08225378,-0.09698269266581662,4,123
