exp,par,N,h,estrategia,spread_ida_vuelta_%,sharpe,retorno_total_%
multidia,clp_h5,5,1,PPO seed=42,0.2,-2.149467764721497,-41.43962948484279
multidia,clp_h5,5,1,PPO seed=42,0.3,-3.1336026515568953,-53.60714643649575
multidia,clp_h5,5,1,Umbral cobre,0.0,1.3611283402372638,42.70526317231853
multidia,clp_h5,5,1,Umbral cobre,0.02,1.2010453565775994,36.31385362331614
multidia,clp_h5,5,1,Umbral cobre,0.05,0.960452381097403,27.250660566448957
multidia,clp_h5,5,1,Umbral cobre,0.1,0.5583136658190533,13.443604866647707
multidia,clp_h5,5,1,Umbral cobre,0.15,0.15490015161299403,1.1112519964977752
multidia,clp_h5,5,1,Umbral cobre,0.2,-0.24959665755004432,-9.901402800384362
multidia,clp_h5,5,1,Umbral cobre,0.3,-1.0610590181079071,-28.509124790766506
multidia,clp_h5,5,2,PPO seed=42,0.0,0.26509021550599693,4.274732879953724
multidia,clp_h5,5,2,PPO seed=42,0.02,0.09720368988520318,-0.41746075022434104
multidia,clp_h5,5,2,PPO seed=42,0.05,-0.1552540476237775,-7.069315606932857
multidia,clp_h5,5,2,PPO seed=42,0.1,-0.5775828322690558,-17.19849976985941
multidia,clp_h5,5,2,PPO seed=42,0.15,-1.0016885556945825,-26.240855841737233
multidia,clp_h5,5,2,PPO seed=42,0.2,-1.427357990152334,-34.311144468339364
multidia,clp_h5,5,2,PPO seed=42,0.3,-2.2825097364781257,-47.93617112470477
multidia,clp_h5,5,2,Umbral cobre,0.0,1.135910907215021,28.941555084110114
multidia,clp_h5,5,2,Umbral cobre,0.02,0.9493889694683306,23.155779535288048
multidia,clp_h5,5,2,Umbral cobre,0.05,0.6691635959433667,14.952271727700616
multidia,clp_h5,5,2,Umbral cobre,0.1,0.20110223574851804,2.457020269948851
multidia,clp_h5,5,2,Umbral cobre,0.15,-0.26796860517923426,-8.701221360612255
multidia,clp_h5,5,2,Umbral cobre,0.2,-0.73774045760473,-18.663239640849184
multidia,clp_h5,5,2,Umbral cobre,0.3,-1.678139825245659,-35.49031503887099
multidia,clp_h5,5,4,PPO seed=42,0.0,-0.020853143410283995,-3.2959001543217736
multidia,clp_h5,5,4,PPO seed=42,0.02,-0.19730555329893276,-7.652207608513173
multidia,clp_h5,5,4,PPO seed=42,0.05,-0.46274988934768874,-13.827502178313466
multidia,clp_h5,5,4,PPO seed=42,0.1,-0.9070765417126974,-23.230041479500684
multidia,clp_h5,5,4,PPO seed=42,0.15,-1.3535981877147536,-31.622639639668837
multidia,clp_h5,5,4,PPO seed=42,0.2,-1.8020722411919043,-39.112053588239945
multidia,clp_h5,5,4,PPO seed=42,0.3,-2.703872247215294,-51.75398032874312
multidia,clp_h5,5,4,Umbral cobre,0.0,1.389116103971815,44.953751170505505
multidia,clp_h5,5,4,Umbral cobre,0.02,1.2327464745282046,38.46357259570068
multidia,clp_h5,5,4,Umbral cobre,0.05,0.9977218314637551,29.260166658315455
multidia,clp_h5,5,4,Umbral cobre,0.1,0.6048518490114432,15.239128317592087
multidia,clp_h5,5,4,Umbral cobre,0.15,0.2106803527326259,2.7152190227291095
multidia,clp_h5,5,4,Umbral cobre,0.2,-0.18461501568768987,-8.468878540210001
multidia,clp_h5,5,4,Umbral cobre,0.3,-0.9778518512656258,-27.36724590962002
multidia,clp_h5,7,1,PPO seed=42,0.0,0.8710742962549486,17.441513625956915
multidia,clp_h5,7,1,PPO seed=42,0.02,0.7310516378429662,14.10023107869054
multidia,clp_h5,7,1,PPO seed=42,0.05,0.5209176442688249,9.26097738768641
