ds,copper,tasa_chile,tasa_us
2010-01-11,3.428499937057495,0.46,0.11
2010-01-12,3.3375000953674316,0.46,0.11
2010-01-13,3.387500047683716,0.46,0.11
2010-01-14,3.375999927520752,0.46,0.11
2010-01-15,3.3550000190734863,0.46,0.12
2010-01-16,3.3550000190734863,0.46,0.12
2010-01-17,3.3550000190734863,0.46,0.12
2010-01-18,3.3550000190734863,0.46,0.12
2010-01-19,3.437000036239624,0.46,0.13
2010-01-20,3.3459999561309814,0.46,0.13
2010-01-21,3.2850000858306885,0.46,0.12
2010-01-22,3.3385000228881836,0.46,0.11
2010-01-23,3.3385000228881836,0.46,0.11
2010-01-24,3.3385000228881836,0.46,0.11
2010-01-25,3.384000062942505,0.46,0.12
2010-01-26,3.3289999961853027,0.46,0.12
2010-01-27,3.2144999504089355,0.46,0.12
2010-01-28,3.0899999141693115,0.46,0.12
2010-01-29,3.0460000038146973,0.46,0.12
2010-01-30,3.0460000038146973,0.46,0.12
2010-01-31,3.0460000038146973,0.46,0.12
2010-02-01,3.0785000324249268,0.49,0.14
2010-02-02,3.0850000381469727,0.49,0.14
2010-02-03,2.9679999351501465,0.49,0.13
2010-02-04,2.875499963760376,0.49,0.14
2010-02-05,2.8540000915527344,0.49,0.13
2010-02-06,2.8540000915527344,0.49,0.13
2010-02-07,2.8540000915527344,0.49,0.13
2010-02-08,2.9094998836517334,0.49,0.13
2010-02-09,2.9835000038146973,0.49,0.13
2010-02-10,2.9860000610351562,0.49,0.12
2010-02-11,3.129499912261963,0.49,0.12
2010-02-12,3.0789999961853027,0.49,0.12
2010-02-13,3.0789999961853027,0.49,0.12
2010-02-14,3.0789999961853027,0.49,0.12
2010-02-15,3.0789999961853027,0.49,0.12
2010-02-16,3.2184998989105225,0.49,0.13
2010-02-17,3.2385001182556152,0.49,0.12
2010-02-18,3.2850000858306885,0.49,0.12
2010-02-19,3.3570001125335693,0.49,0.13
2010-02-20,3.3570001125335693,0.49,0.13
2010-02-21,3.3570001125335693,0.49,0.13
2010-02-22,3.30649995803833,0.49,0.12
2010-02-23,3.2139999866485596,0.49,0.12
2010-02-24,3.2355000972747803,0.49,0.11
2010-02-25,3.192500114440918,0.49,0.12
2010-02-26,3.2685000896453857,0.49,0.13
2010-02-27,3.2685000896453857,0.49,0.13
2010-02-28,3.2685000896453857,0.49,0.13
2010-03-01,3.3329999446868896,0.5,0.14
2010-03-02,3.3954999446868896,0.5,0.14
2010-03-03,3.4189999103546143,0.5,0.15
2010-03-04,3.3605000972747803,0.5,0.16
2010-03-05,3.4024999141693115,0.5,0.17
2010-03-06,3.4024999141693115,0.5,0.17
2010-03-07,3.4024999141693115,0.5,0.17
2010-03-08,3.3965001106262207,0.5,0.15
2010-03-09,3.3980000019073486,0.5,0.14
2010-03-10,3.3550000190734863,0.5,0.14
2010-03-11,3.365999937057495,0.5,0.15
2010-03-12,3.369499921798706,0.5,0.17
2010-03-13,3.369499921798706,0.5,0.17
2010-03-14,3.369499921798706,0.5,0.17
2010-03-15,3.306999921798706,0.5,0.2
